contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate,ticker
AAPL241025P00140000,2024-10-11 13:45:51+00:00,140.0,0.01,0.0,0.02,0.0,0.0,1.0,368.0,1.3281283593749997,False,REGULAR,USD,2024-10-25,AAPL
AAPL241025P00145000,2024-10-10 18:34:14+00:00,145.0,0.01,0.0,0.02,0.0,0.0,20.0,225.0,1.2500037499999999,False,REGULAR,USD,2024-10-25,AAPL
AAPL241025P00150000,2024-10-18 19:39:56+00:00,150.0,0.01,0.0,0.05,0.0,0.0,379.0,447.0,1.2656286718749998,False,REGULAR,USD,2024-10-25,AAPL
AAPL241025P00155000,2024-10-04 18:41:29+00:00,155.0,0.03,0.0,0.05,0.0,0.0,50.0,98.0,1.171879140625,False,REGULAR,USD,2024-10-25,AAPL
AAPL241025P00160000,2024-10-18 19:39:50+00:00,160.0,0.01,0.0,0.01,0.0,0.0,912.0,1514.0,0.937500625,False,REGULAR,USD,2024-10-25,AAPL
AAPL241025P00165000,2024-10-15 15:31:53+00:00,165.0,0.02,0.0,0.05,0.0,0.0,1.0,531.0,1.015629921875,False,REGULAR,USD,2024-10-25,AAPL
AAPL241025P00170000,2024-10-16 15:28:10+00:00,170.0,0.01,0.0,0.01,0.0,0.0,31.0,275.0,0.8125018749999999,False,REGULAR,USD,2024-10-25,AAPL
AAPL241025P00175000,2024-10-18 19:34:16+00:00,175.0,0.01,0.0,0.05,0.0,0.0,314.0,263.0,0.85937640625,False,REGULAR,USD,2024-10-25,AAPL
AAPL241025P00180000,2024-10-18 19:39:41+00:00,180.0,0.01,0.0,0.02,-0.01,-50.0,2060.0,841.0,0.7187528125,False,REGULAR,USD,2024-10-25,AAPL
AAPL241025P00185000,2024-10-18 19:55:05+00:00,185.0,0.02,0.0,0.02,0.0,0.0,457.0,821.0,0.648441015625,False,REGULAR,USD,2024-10-25,AAPL
AAPL241025P00190000,2024-10-18 19:52:47+00:00,190.0,0.01,0.0,0.02,-0.01,-50.0,497.0,922.0,0.57812921875,False,REGULAR,USD,2024-10-25,AAPL
AAPL241025P00192500,2024-10-18 14:20:39+00:00,192.5,0.02,0.0,0.05,0.0,0.0,2.0,105.0,0.6015664843750002,False,REGULAR,USD,2024-10-25,AAPL
AAPL241025P00195000,2024-10-18 19:42:58+00:00,195.0,0.01,0.01,0.02,-0.02,-66.66667,306.0,10938.0,0.5390671093750001,False,REGULAR,USD,2024-10-25,AAPL
AAPL241025P00197500,2024-10-18 17:59:04+00:00,197.5,0.02,0.01,0.02,-0.02,-50.0,213.0,351.0,0.500005,False,REGULAR,USD,2024-10-25,AAPL
AAPL241025P00200000,2024-10-18 19:42:58+00:00,200.0,0.02,0.01,0.03,-0.030000001,-60.000004,399.0,2558.0,0.507817421875,False,REGULAR,USD,2024-10-25,AAPL
AAPL241025P00202500,2024-10-18 18:16:48+00:00,202.5,0.03,0.02,0.05,-0.020000001,-40.000004,35.0,135.0,0.5019581054687501,False,REGULAR,USD,2024-10-25,AAPL
AAPL241025P00205000,2024-10-18 19:55:55+00:00,205.0,0.04,0.03,0.04,-0.02,-33.333336,333.0,3975.0,0.45313046875,False,REGULAR,USD,2024-10-25,AAPL
AAPL241025P00207500,2024-10-18 19:49:44+00:00,207.5,0.04,0.03,0.04,-0.030000001,-42.857143,56.0,766.0,0.41797457031249996,False,REGULAR,USD,2024-10-25,AAPL
AAPL241025P00210000,2024-10-18 19:59:43+00:00,210.0,0.05,0.04,0.05,-0.029999997,-37.499996,410.0,4039.0,0.39258419921875,False,REGULAR,USD,2024-10-25,AAPL
AAPL241025P00212500,2024-10-18 19:36:26+00:00,212.5,0.06,0.05,0.06,-0.05,-45.454548,50.0,2177.0,0.36524072265625,False,REGULAR,USD,2024-10-25,AAPL
AAPL241025P00215000,2024-10-18 19:58:33+00:00,215.0,0.06,0.06,0.08,-0.08,-57.142853,1432.0,4175.0,0.3437565625,False,REGULAR,USD,2024-10-25,AAPL
AAPL241025P00217500,2024-10-18 19:59:20+00:00,217.5,0.09,0.07,0.09,-0.09,-50.0,1265.0,867.0,0.31153032226562494,False,REGULAR,USD,2024-10-25,AAPL
AAPL241025P00220000,2024-10-18 19:59:20+00:00,220.0,0.11,0.1,0.11,-0.14999999,-57.692307,3691.0,6789.0,0.282233740234375,False,REGULAR,USD,2024-10-25,AAPL
AAPL241025P00222500,2024-10-18 19:59:42+00:00,222.5,0.16,0.14,0.16,-0.22999999,-58.974354,1022.0,2543.0,0.25977302734375,False,REGULAR,USD,2024-10-25,AAPL
AAPL241025P00225000,2024-10-18 19:59:59+00:00,225.0,0.24,0.23,0.24,-0.37,-60.65574,7316.0,8175.0,0.23731231445312498,False,REGULAR,USD,2024-10-25,AAPL
AAPL241025P00227500,2024-10-18 19:59:55+00:00,227.5,0.41,0.38,0.41,-0.58000004,-58.585865,4181.0,3503.0,0.22071091796874998,False,REGULAR,USD,2024-10-25,AAPL
AAPL241025P00230000,2024-10-18 19:59:58+00:00,230.0,0.7,0.69,0.72,-0.96999997,-58.08383,18910.0,9216.0,0.20606262695312497,False,REGULAR,USD,2024-10-25,AAPL
AAPL241025P00232500,2024-10-18 19:59:58+00:00,232.5,1.25,1.23,1.29,-1.4000001,-52.83019,14672.0,4273.0,0.1948322705078125,False,REGULAR,USD,2024-10-25,AAPL
AAPL241025P00235000,2024-10-18 19:59:59+00:00,235.0,2.22,2.19,2.24,-1.78,-44.5,16911.0,6573.0,0.18640950317382812,False,REGULAR,USD,2024-10-25,AAPL
AAPL241025P00237500,2024-10-18 19:58:30+00:00,237.5,3.65,3.55,3.7,-2.2999997,-38.65546,4432.0,811.0,0.18457846679687498,True,REGULAR,USD,2024-10-25,AAPL
AAPL241025P00240000,2024-10-18 19:59:12+00:00,240.0,5.45,5.45,5.6,-2.9499998,-35.11905,1164.0,1418.0,0.18763019409179688,True,REGULAR,USD,2024-10-25,AAPL
AAPL241025P00242500,2024-10-18 19:41:50+00:00,242.5,7.5,7.5,7.9,-2.9799995,-28.435112,776.0,55.0,0.2124102197265625,True,REGULAR,USD,2024-10-25,AAPL
AAPL241025P00245000,2024-10-18 19:32:58+00:00,245.0,10.0,9.9,10.25,-3.0500002,-23.371649,322.0,82.0,0.229499892578125,True,REGULAR,USD,2024-10-25,AAPL
